"AGEP","COW","JWMNP","LANX","MAR","SEX","WKHP","DIS","PERNP","Hispanic","Stem","Education","Region","CIT2","RAC"
32,1,15,2,1,1,48,2,52000,0,"NoDeg",12,"Northwest Wisconsin",1,1
32,3,40,2,1,1,47,2,44600,0,"No",16,"West Central Wisconsin",1,1
32,1,15,2,5,2,60,2,60000,0,"NoDeg",13,"East Central Wisconsin ",1,1
50,1,20,2,1,2,40,2,75000,0,"NoDeg",12,"Central Wisconsin ",1,1
77,1,45,2,1,2,20,2,13700,0,"No",18,"Milwaukee City",1,1
32,2,30,2,5,2,60,2,45400,0,"Yes",18,"Madison and Dane County",1,1
60,6,5,2,1,1,50,2,115000,0,"No",18,"West Central Wisconsin",1,1
55,1,50,2,1,1,50,2,75000,0,"NoDeg",12,"Northeast Wisconsin ",1,1
46,1,27,2,1,1,60,2,200000,0,"Yes",18,"Madison and Dane County",1,1
29,1,40,2,1,1,40,2,24000,0,"NoDeg",12,"Northeast Wisconsin ",1,1
64,2,1,2,1,1,70,2,30000,0,"Yes",18,"Waukesha County",1,1
56,1,20,2,1,2,45,2,75000,0,"NoDeg",14,"Waukesha County",1,1
53,1,10,2,1,2,40,2,33000,0,"NoDeg",12,"Northwest Wisconsin",1,1
29,1,7,2,5,2,36,2,23000,0,"NoDeg",13,"Milwaukee City",1,2
46,1,21,2,1,1,50,2,102000,0,"NoDeg",13,"Southwest and South Central Wisconsin",1,1
25,1,15,2,1,1,20,2,15000,0,"NoDeg",14,"Southeast Wisconsin ",1,1
56,1,10,2,3,2,36,2,28000,0,"No",16,"Southwest and South Central Wisconsin",1,1
60,2,55,2,3,2,30,2,50000,0,"Yes",16,"Southeast Wisconsin ",1,1
52,1,10,2,3,1,40,2,42000,0,"NoDeg",12,"Waukesha County",1,1
39,1,15,2,1,1,55,2,52000,0,"NoDeg",14,"East Central Wisconsin",1,9
55,2,12,2,1,2,40,2,45000,0,"NoDeg",12,"Central Wisconsin ",1,1
48,1,30,2,1,1,45,2,49700,0,"NoDeg",12,"Southeast Wisconsin ",1,1
42,1,30,2,1,1,60,2,90000,0,"NoDeg",14,"Central Wisconsin ",1,1
55,2,5,2,5,1,50,2,40000,0,"No",18,"Northwest Wisconsin",1,1
44,1,5,2,1,2,15,2,6000,0,"No",16,"East Central Wisconsin ",1,1
57,6,30,2,1,1,50,1,6100,0,"NoDeg",12,"Central Wisconsin ",1,1
36,1,45,2,4,1,40,2,10000,0,"No",16,"Northeast Wisconsin ",1,1
52,1,80,2,1,1,42,2,53000,0,"NoDeg",12,"East Central Wisconsin",1,1
24,6,50,2,1,1,35,2,43000,0,"NoDeg",14,"Central Wisconsin ",1,1
44,1,5,2,5,2,40,2,33600,0,"No",16,"Green Bay",1,1
40,1,25,2,1,1,40,2,52000,0,"No",16,"Northwest Wisconsin",1,1
52,1,2,2,1,1,40,2,60000,0,"NoDeg",13,"Southeast Wisconsin ",1,1
47,1,30,2,5,2,19,2,19000,0,"NoDeg",12,"Milwaukee City",1,2
39,1,40,2,5,2,20,1,3000,0,"NoDeg",12,"West Central Wisconsin",1,1
20,1,10,2,1,2,36,2,9600,0,"NoDeg",12,"Central Wisconsin ",1,1
60,1,20,2,3,2,40,2,37000,0,"NoDeg",12,"East Central Wisconsin ",1,1
34,1,15,2,1,1,50,2,60000,0,"NoDeg",13,"Madison and Dane County",1,1
51,2,5,2,3,2,40,2,46000,0,"NoDeg",12,"West Central Wisconsin",1,1
32,2,25,2,3,2,38,2,26000,0,"NoDeg",13,"Southwest and South Central Wisconsin ",1,9
50,1,10,2,1,2,40,2,23000,0,"NoDeg",14,"Northwest Wisconsin",1,1
57,4,25,2,1,1,40,2,42600,0,"NoDeg",12,"Madison and Dane County",1,1
54,1,10,2,3,1,40,2,51000,0,"NoDeg",12,"Northeast Wisconsin ",1,1
41,6,30,2,1,1,40,2,45000,0,"Yes",16,"Southwest and South Central Wisconsin",1,1
27,1,5,2,1,1,50,2,50000,0,"NoDeg",12,"Southwest and South Central Wisconsin",1,1
66,1,2,2,2,2,45,2,25000,0,"NoDeg",12,"Central Wisconsin ",1,1
39,1,20,2,3,1,45,2,41000,0,"NoDeg",13,"Milwaukee City",1,2
30,2,20,2,5,1,30,2,16000,0,"No",16,"Milwaukee County",1,1
40,2,7,2,5,2,40,2,39000,0,"No",16,"Milwaukee City",1,1
54,1,10,2,3,2,40,2,36600,0,"NoDeg",12,"Northeast Wisconsin ",1,1
49,1,20,2,1,1,48,2,366000,0,"NoDeg",14,"East Central Wisconsin ",1,1
62,1,45,2,1,1,50,2,120000,0,"Yes",16,"Waukesha County",1,1
53,1,45,2,1,2,40,2,40000,0,"No",16,"Milwaukee County",1,1
29,1,25,2,1,2,45,2,32000,0,"NoDeg",12,"East Central Wisconsin ",1,1
44,1,25,2,3,2,30,2,17000,0,"NoDeg",12,"Northwest Wisconsin",1,1
42,1,3,2,1,2,40,1,72000,0,"No",18,"Southeast Wisconsin ",1,1
67,3,2,2,1,2,32,2,25000,0,"NoDeg",12,"Southwest and South Central Wisconsin",1,1
57,1,45,2,1,1,40,1,42000,0,"NoDeg",13,"East Central Wisconsin ",1,1
35,4,20,2,5,2,40,2,16500,0,"NoDeg",13,"Central Wisconsin ",1,1
55,1,50,2,1,1,50,1,65000,0,"NoDeg",12,"West Central Wisconsin",1,1
43,1,15,1,1,1,40,2,110000,0,"Yes",16,"Waukesha County",3,1
54,1,25,2,3,1,50,2,80000,0,"NoDeg",12,"Waukesha County",1,1
54,1,10,2,3,1,40,2,57000,0,"NoDeg",12,"Northeast Wisconsin ",1,1
28,1,20,2,5,1,50,2,14000,0,"NoDeg",12,"Waukesha County",2,6
44,1,5,2,3,2,40,2,33000,0,"Yes",16,"East Central Wisconsin",1,1
65,4,30,2,1,1,20,2,6000,0,"No",16,"West Central Wisconsin",1,1
57,1,25,2,1,2,40,2,34500,0,"NoDeg",12,"Central Wisconsin ",1,1
46,1,15,2,1,1,50,2,70000,0,"No",16,"Madison and Dane County",1,1
42,1,35,2,1,1,40,2,45000,0,"NoDeg",14,"Central Wisconsin ",1,1
36,1,25,2,1,1,46,2,70000,0,"NoDeg",14,"Southwest and South Central Wisconsin",1,1
55,1,30,2,3,1,45,2,87000,0,"No",18,"West Central Wisconsin",1,1
59,1,25,1,3,2,40,1,28000,0,"NoDeg",9,"West Central Wisconsin",1,3
24,3,15,2,5,1,45,2,43000,0,"No",16,"Southwest and South Central Wisconsin ",1,1
33,1,20,2,1,2,45,2,80000,0,"No",18,"Milwaukee County",1,1
38,2,4,2,1,2,34,2,55000,0,"NoDeg",14,"Northeast Wisconsin ",1,1
35,1,25,2,1,2,40,2,36000,0,"NoDeg",13,"West Central Wisconsin",1,1
59,1,20,2,3,1,40,2,30000,0,"NoDeg",12,"Southwest and South Central Wisconsin",1,1
60,1,15,2,1,1,40,2,100000,0,"Yes",16,"Madison and Dane County",1,1
45,1,12,2,1,2,40,2,22000,0,"NoDeg",12,"Green Bay",1,1
41,3,25,2,1,1,40,1,40000,0,"NoDeg",14,"Northwest Wisconsin",1,1
64,2,3,1,1,1,55,2,120000,0,"Yes",18,"Central Wisconsin ",1,1
65,1,146,2,3,2,40,1,16900,0,"NoDeg",12,"East Central Wisconsin ",1,1
33,1,15,2,1,1,45,2,32000,0,"NoDeg",12,"Madison and Dane County",1,1
62,1,12,2,1,1,40,1,48000,0,"NoDeg",12,"Central Wisconsin ",1,1
33,1,35,2,1,2,35,2,27700,0,"Yes",16,"West Central Wisconsin",1,1
56,1,15,2,3,1,55,2,64000,0,"NoDeg",12,"Southwest and South Central Wisconsin",1,1
30,1,20,1,1,1,45,2,52000,1,"NoDeg",13,"Milwaukee City",1,1
28,1,5,1,5,1,30,2,21000,1,"NoDeg",12,"Southeast Wisconsin ",3,1
35,1,13,2,1,1,44,2,53000,0,"NoDeg",12,"East Central Wisconsin ",1,1
59,2,45,2,5,1,60,2,64000,0,"No",16,"East Central Wisconsin ",1,1
31,1,40,2,1,1,40,2,55000,0,"No",16,"Madison and Dane County",1,1
46,1,55,2,1,1,40,2,38000,0,"NoDeg",12,"Northeast Wisconsin ",1,1
28,1,30,2,5,1,45,2,42500,0,"NoDeg",12,"West Central Wisconsin",1,1
41,1,8,2,1,2,50,2,90000,0,"NoDeg",13,"West Central Wisconsin",1,1
34,1,15,2,1,2,40,2,42000,0,"No",16,"Waukesha County",1,1
54,3,20,2,1,1,40,2,70000,0,"NoDeg",14,"East Central Wisconsin ",1,1
39,2,80,2,4,2,38,2,34200,0,"NoDeg",14,"Southwest and South Central Wisconsin",1,1
37,1,15,2,1,1,45,2,67000,0,"NoDeg",12,"Southeast Wisconsin ",1,1
58,3,20,2,1,1,40,2,33400,0,"NoDeg",12,"West Central Wisconsin",1,1
58,1,30,2,1,2,40,2,50000,0,"NoDeg",13,"West Central Wisconsin",1,1
49,4,20,2,1,2,40,2,43000,0,"Yes",16,"West Central Wisconsin",1,1
28,1,50,2,5,1,40,2,52000,0,"Yes",16,"Southwest and South Central Wisconsin ",1,1
54,3,1,2,1,2,50,2,48000,0,"No",16,"Central Wisconsin ",1,1
56,2,15,1,1,1,40,2,80000,1,"No",18,"Milwaukee City",2,1
48,1,45,2,4,1,47,2,45000,0,"NoDeg",12,"Northeast Wisconsin ",1,1
52,1,5,2,5,1,40,2,7600,0,"NoDeg",12,"Northwest Wisconsin",1,1
44,4,30,1,1,2,38,2,55000,1,"Yes",18,"East Central Wisconsin",2,1
55,6,14,2,1,2,30,2,8100,0,"NoDeg",12,"West Central Wisconsin",1,1
34,4,60,2,1,2,40,2,65000,0,"NoDeg",14,"East Central Wisconsin ",1,1
65,1,15,2,3,1,40,2,65000,0,"NoDeg",13,"Waukesha County",1,1
52,1,30,2,1,2,45,2,80000,0,"NoDeg",13,"Southeast Wisconsin ",1,1
52,1,10,2,1,1,60,2,50000,0,"NoDeg",12,"Northeast Wisconsin ",1,1
55,1,40,2,3,1,50,2,54000,0,"NoDeg",12,"West Central Wisconsin",1,1
34,2,25,2,3,2,45,2,60000,0,"NoDeg",14,"West Central Wisconsin",1,1
61,2,20,2,1,1,40,2,28000,0,"No",16,"Milwaukee County",1,1
65,5,40,2,1,1,40,2,53000,0,"Yes",16,"Waukesha County",1,1
60,1,15,2,1,1,40,2,53000,0,"NoDeg",12,"Milwaukee City",1,1
43,3,25,2,1,2,45,2,52000,0,"No",18,"Southeast Wisconsin ",1,1
51,1,12,2,1,1,50,2,54000,0,"NoDeg",12,"Southeast Wisconsin ",1,1
41,5,30,2,5,2,40,2,60000,0,"No",16,"Waukesha County",1,8
58,1,20,2,1,2,40,2,26000,0,"NoDeg",12,"East Central Wisconsin ",1,1
35,1,30,2,1,1,40,2,110000,0,"Yes",16,"East Central Wisconsin ",1,1
59,1,60,2,3,1,40,2,95000,0,"Yes",16,"East Central Wisconsin ",1,1
50,1,20,2,3,2,20,2,9000,0,"NoDeg",13,"Milwaukee City",1,2
54,1,30,2,1,1,40,2,30000,0,"NoDeg",12,"Southwest and South Central Wisconsin",1,1
54,1,30,2,1,1,40,2,43000,0,"NoDeg",12,"East Central Wisconsin ",1,1
43,3,30,2,1,2,50,2,55000,0,"No",18,"Southeast Wisconsin ",1,1
31,7,30,2,1,2,30,2,12000,0,"NoDeg",13,"East Central Wisconsin ",1,1
63,1,30,1,1,2,24,2,8000,0,"NoDeg",12,"Milwaukee County",1,1
31,1,55,2,1,1,45,2,55000,0,"No",16,"West Central Wisconsin",1,1
45,4,20,2,1,1,40,2,48000,0,"Yes",16,"Madison and Dane County",1,1
23,1,45,2,5,1,40,2,50000,0,"No",16,"Southeast Wisconsin ",1,1
59,1,30,2,1,2,40,2,22000,0,"NoDeg",12,"West Central Wisconsin",1,1
73,1,5,1,2,2,50,2,22100,0,"NoDeg",0,"Central Wisconsin ",2,6
63,2,12,2,1,1,60,2,90000,0,"Yes",18,"Southeast Wisconsin ",1,1
35,1,35,2,3,2,40,2,49000,0,"NoDeg",14,"Southeast Wisconsin ",1,1
83,5,30,2,3,2,40,2,38400,0,"NoDeg",13,"Northwest Wisconsin",1,3
64,6,1,1,4,1,55,2,3000,0,"NoDeg",0,"East Central Wisconsin",2,6
42,1,2,2,3,2,45,2,32000,0,"Yes",16,"Southwest and South Central Wisconsin",1,1
60,1,1,2,1,2,20,2,58000,0,"NoDeg",14,"Milwaukee County",1,1
34,1,30,2,1,2,55,2,36000,0,"NoDeg",12,"Southwest and South Central Wisconsin",1,1
51,1,35,2,5,1,48,2,38000,0,"NoDeg",12,"Madison and Dane County",1,1
68,1,45,2,3,2,40,2,22000,0,"NoDeg",12,"Milwaukee City",1,1
49,1,60,2,1,1,60,2,170000,0,"No",18,"Southeast Wisconsin ",1,1
55,1,30,2,1,1,43,2,100000,0,"No",16,"Northeast Wisconsin ",1,1
54,1,146,2,3,2,40,2,65000,0,"NoDeg",12,"Northwest Wisconsin",1,1
41,1,25,2,1,1,62,2,66000,0,"NoDeg",12,"West Central Wisconsin",1,1
36,3,10,2,1,1,45,2,60000,0,"No",16,"East Central Wisconsin ",1,1
50,1,35,2,1,2,40,2,2000,0,"NoDeg",12,"West Central Wisconsin",1,1
50,2,10,2,1,2,45,2,45000,0,"NoDeg",14,"Southwest and South Central Wisconsin",1,1
59,1,10,2,3,1,50,2,70000,0,"Yes",16,"Northwest Wisconsin",1,1
56,1,1,2,3,1,40,2,101000,0,"NoDeg",13,"West Central Wisconsin",1,1
62,1,20,2,3,2,40,2,37000,0,"NoDeg",12,"East Central Wisconsin",1,1
34,1,15,2,1,2,40,2,30000,0,"NoDeg",12,"East Central Wisconsin ",1,1
34,3,5,2,3,1,40,2,60000,0,"NoDeg",12,"Waukesha County",1,1
24,1,10,2,5,2,15,1,2000,0,"NoDeg",12,"Northeast Wisconsin ",1,1
29,1,10,2,1,1,42,2,38000,0,"NoDeg",14,"Northeast Wisconsin ",1,1
59,3,40,2,2,2,40,2,78000,0,"NoDeg",14,"Southeast Wisconsin ",1,1
48,1,30,2,5,2,40,2,59000,0,"Yes",16,"Milwaukee County",1,1
52,2,15,2,3,2,40,2,22000,0,"NoDeg",13,"Southwest and South Central Wisconsin ",1,1
75,2,1,2,2,2,40,2,30000,0,"NoDeg",12,"Southwest and South Central Wisconsin",1,1
42,1,20,2,3,1,50,2,63000,0,"NoDeg",12,"Southeast Wisconsin ",1,1
37,1,15,1,1,1,40,2,60500,0,"No",16,"Milwaukee City",1,1
34,2,2,2,3,1,40,2,25000,0,"NoDeg",12,"Northwest Wisconsin",1,3
36,1,1,1,1,2,32,2,12000,1,"NoDeg",12,"Milwaukee City",1,8
72,7,15,1,1,1,50,2,61000,0,"No",20,"Madison and Dane County",2,6
30,1,15,2,1,1,50,2,120000,0,"Yes",18,"Waukesha County",1,9
63,4,10,2,1,1,12,2,9700,0,"No",16,"East Central Wisconsin",1,1
45,1,20,2,1,1,55,2,366000,0,"No",16,"Waukesha County",1,1
34,1,5,2,1,1,50,2,150000,0,"Yes",16,"East Central Wisconsin ",1,1
55,1,42,2,1,1,30,2,366000,0,"No",16,"Southeast Wisconsin ",1,1
55,1,30,2,1,1,60,2,41000,0,"NoDeg",12,"Southwest and South Central Wisconsin",1,1
55,7,15,2,1,1,60,2,172000,0,"NoDeg",14,"Milwaukee County",1,1
39,1,20,2,1,1,50,2,47500,0,"Yes",16,"West Central Wisconsin",1,1
54,7,30,2,1,1,60,2,366000,0,"Yes",18,"Southeast Wisconsin ",1,1
53,1,50,2,1,1,60,2,45000,0,"NoDeg",12,"Southwest and South Central Wisconsin ",1,1
48,4,8,2,1,1,40,2,70000,0,"Yes",16,"Madison and Dane County",1,1
26,1,12,2,5,1,42,2,16000,0,"NoDeg",12,"Southeast Wisconsin ",1,1
28,2,10,2,5,1,40,2,60000,0,"No",16,"West Central Wisconsin",1,1
56,1,18,2,1,1,45,2,42000,0,"No",16,"Southwest and South Central Wisconsin",1,1
53,6,2,2,5,1,70,2,17000,0,"NoDeg",14,"Central Wisconsin ",1,1
50,1,50,2,1,2,40,2,52000,0,"NoDeg",13,"Southwest and South Central Wisconsin",1,1
52,1,5,2,1,2,45,2,40000,0,"No",18,"Northwest Wisconsin",1,1
49,1,60,2,3,1,60,2,136000,0,"NoDeg",12,"Northwest Wisconsin",1,1
54,4,45,2,1,1,40,2,29000,0,"NoDeg",12,"Southwest and South Central Wisconsin",1,1
27,1,25,2,5,2,40,2,14100,0,"NoDeg",14,"Milwaukee City",1,2
48,3,25,2,5,1,32,2,21000,0,"NoDeg",12,"East Central Wisconsin",1,3
67,1,5,2,1,1,99,2,120000,0,"Yes",18,"West Central Wisconsin",1,1
83,1,3,2,1,1,20,2,4000,0,"NoDeg",0,"Northeast Wisconsin ",1,1
36,6,30,2,4,1,42,2,73000,0,"NoDeg",13,"Madison and Dane County",1,1
56,1,30,2,1,2,40,2,32900,0,"NoDeg",12,"West Central Wisconsin",1,1
37,1,25,2,4,2,33,2,22000,0,"NoDeg",13,"Southeast Wisconsin ",1,1
58,1,20,2,5,1,40,2,44000,0,"No",16,"Green Bay",1,1
65,2,10,2,3,2,40,2,68000,0,"NoDeg",13,"Milwaukee City",1,1
33,2,50,2,1,1,44,2,92000,0,"No",18,"Waukesha County",1,1
23,1,12,2,5,2,30,2,12000,0,"No",16,"Northeast Wisconsin ",1,1
28,2,45,2,5,1,30,2,12000,0,"NoDeg",13,"Green Bay",1,1
53,2,10,2,1,1,40,2,70000,0,"NoDeg",13,"West Central Wisconsin",1,1
44,6,2,2,1,2,40,2,1,0,"NoDeg",14,"Northwest Wisconsin",1,1
54,1,10,2,1,1,45,2,43000,0,"NoDeg",12,"East Central Wisconsin",1,1
26,1,8,2,5,1,50,1,40000,0,"NoDeg",14,"Southwest and South Central Wisconsin",1,1
35,1,35,2,1,2,45,2,55000,0,"Yes",16,"Southwest and South Central Wisconsin",1,1
50,1,30,2,3,2,35,2,17500,0,"NoDeg",12,"Central Wisconsin ",1,1
44,1,30,2,1,1,46,2,51000,0,"NoDeg",12,"East Central Wisconsin ",1,1
31,6,15,2,1,2,30,1,14500,0,"NoDeg",12,"East Central Wisconsin",1,1
69,6,1,2,3,2,20,2,3100,0,"No",20,"Northwest Wisconsin",1,1
45,1,20,2,5,1,45,2,63000,0,"NoDeg",13,"Southeast Wisconsin ",1,1
43,4,15,2,5,1,45,2,48000,0,"Yes",16,"West Central Wisconsin",1,1
48,6,20,2,1,1,60,2,25000,0,"NoDeg",13,"Northeast Wisconsin ",1,1
56,4,10,2,1,2,45,2,54000,0,"Yes",16,"Northwest Wisconsin",1,1
68,1,10,2,1,1,42,1,24000,0,"NoDeg",12,"West Central Wisconsin",1,1
63,1,20,2,1,2,40,2,35000,0,"NoDeg",14,"Northeast Wisconsin ",1,1
49,1,20,2,1,1,50,2,85000,0,"NoDeg",12,"Central Wisconsin ",1,1
40,1,35,2,1,1,40,2,37400,0,"NoDeg",12,"West Central Wisconsin",1,1
55,2,10,2,3,2,40,2,29200,0,"NoDeg",12,"West Central Wisconsin",1,1
34,4,40,2,5,2,40,2,37200,0,"NoDeg",14,"Madison and Dane County",1,1
41,1,15,2,1,2,40,2,35000,0,"NoDeg",12,"Milwaukee City",1,1
42,1,30,2,5,1,45,2,71000,0,"NoDeg",12,"West Central Wisconsin",1,1
